NAME;TblName;Combine;LOB;ULAE;d;a;nbara;ALAE;nbarc;Trend_date;c;risk_parm;Trend_factor; 100 000 ; 250 000 ; 300 000 ; 400 000 ; 500 000 ; 750 000 ; 1 000 000 ; 1 500 000 ; 2 000 000 ; 2 500 000 ; 3 000 000 ; 5 000 000 ; 7 500 000 ; 10 000 000 ;Mean1;Mean2;Mean3;Mean4;Mean5;Mean6;Mean7;Mean8;Mean9;Mean10;Mean11;Mean12;Wt1;Wt2;Wt3;Wt4;Wt5;Wt6;Wt7;Wt8;Wt9;Wt10;Wt11;Wt12;;
PO Group B prime table 3;PO_Group_BB_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group C prime table 1;PO_Group_CC_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group C prime table 2;PO_Group_CC_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group C prime table 3;PO_Group_CC_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO COMBINED;PO_COMB;PRAWDA;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROD TABLE A;PROD_TABLEA;FA£SZ;PROD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROD TABLE B;PROD_TABLEB;FA£SZ;PROD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROD TABLE C;PROD_TABLEC;FA£SZ;PROD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROD COMBINED;PROD_COMB;PRAWDA;PROD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GL COMBINED;GL_COMB;PRAWDA;GL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 1 L & M;STATE_GROUP_1_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 1 HEAVY;STATE_GROUP_1_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 1 X-HEAVY;STATE_GROUP_1_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 1 ZONE RATED;STATE_GROUP_1_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
